"TRANSACTION_MONTH","MERCHANT_GROUP","MERCHANT_BRAND","TRX_DEBIT_ONUS","TRX_DEBIT_OFFUS","TRX_CREDIT_OFFUS","TRX_QRIS_ONUS","TRX_QRIS_OFFUS","VOL_DEBIT_ONUS","VOL_DEBIT_OFFUS","VOL_CREDIT_OFFUS","VOL_QRIS_ONUS","VOL_QRIS_OFFUS","FBI_DEBIT_ONUS","FBI_DEBIT_OFFUS","FBI_CREDIT_OFFUS","FBI_QRIS_ONUS","FBI_QRIS_OFFUS"
"202601","KAWAN LAMA","CHATIME","910","5","3","0","0","57814000","369000","648000","0","2904005","86721","3690","11664","0","20328"
"202601","ANCOL","ANCOL","130","1226","400","6","4926","68584000","952512900","430263650","327000","5231242856","102876","9517689","7627645","0","36502193"
"202601","INDOMARET","INDOMARET","82843","56442","30519","0","46","8835005497","5256558184","4689845878","0","3158900","13252501","52304177","78420655","0","3906"
"202601","ALFA GROUP","ALFAMART","67071","71508","12705","7","233","6927112482","7525552381","2268624742","129900","8268600","10390659","75123030","40285259","62","6736"
"202601","MAP GROUP","KIDZ STATION","373","1262","1774","0","0","168876172","715826695","1213308323","0","0","253314","7158267","15773008","0","0"
"202601","MAP GROUP","CROCS","242","793","739","0","0","371720720","1103110770","986726136","0","0","557581","10974931","12827440","0","0"
"202601","MAP GROUP","ONITSUKA TIGER","71","173","232","0","0","215116000","489831000","674194000","0","0","322674","4889310","8764522","0","0"
"202601","MAP GROUP","SKECHERS","582","1680","1796","0","0","772635656","2083507844","2310174070","0","0","1158953","20835078","30032263","0","0"
"202601","ALFA GROUP","DAN+DAN","900","1162","198","0","0","140342304","175463902","43011098","0","0","210513","1753344","772077","0","0"
"202601","MAP GROUP","BIRKENSTOCK","32","114","255","0","0","52197800","269440642","575066632","0","0","78297","2694406","7475866","0","0"
"202601","MAP GROUP","PROSHOP","4","19","81","0","0","8480000","37464450","133372320","0","0","12720","374644","1733840","0","0"
"202601","SOLARIA","SOLARIA","4199","1","0","2","257","752401200","64000","0","296000","39618100","1128602","640","0","2072","277327"
"202601","SHIHLIN","SHIHLIN","144","19","7","10","128","11054000","1628000","450000","598000","90330001","16581","16280","9000","4046","616350"
"202601","KAWAN LAMA","INFORMA","1367","0","0","0","0","5746167461","0","0","0","178402490","8619251","0","0","0","1248818"
"202601","STEVEN GROUP","BURGER KING","48","46","14","0","68","6098504","5724753","2251071","0","33122114","9147","57248","45021","0","231850"
"202601","MAP GROUP","NEW ERA","78","254","255","0","0","87637920","266833679","275549260","0","0","131457","2668337","3582140","0","0"
