MERCHANT_ID,MERCHANT_NAME,EQUIP
400032354620001,AMANAH BAKERY MARPOYAN,QRIS
403100154990006,NASI BEBEK 117,QRIS
403901754990007,TAHU PEDAS UHA UHA,QRIS
404960158110005,AYAM BU WIWIT,QRIS
406190153310021,TOKO PERMATASARI 3,QRIS
403920172300001,SALON JASMINE,QRIS
404015056310001,NONI CRAFT,QRIS
406740172300002,SHAKILA GLORY EYELASH,QRIS
400021056510002,TOKO CHANYY,QRIS
403017058120006,PORK.ID,QRIS
405480154110008,TOKO WILLY,QRIS
408201858120006,NATAJIWA COFFEE,QRIS
451181058121760,SOLARIA WTC BATANGHARI JA,QRIS
451181058121830,SOLARIA GRAND METROPOLITA,QRIS
451210157190680,QR J437IE LP PASIR KALIKI,QRIS
180021154117224,IDM FUAJ-MAHENDRADATA NBALI           ID,EDC
402090158110004,SBS FROZEN FOOD,QRIS
404630179410002,PADA PADEL CLUB,QRIS
406930182990002,KELAS BEBAS BICARA,QRIS
452580155330001,BWK STIKER,QRIS
200720123230642,INDOMARET T9RR-CITRALANDELI SERDANG   ID,EDC
402910158120032,CIK BADRUL KULINER,QRIS
434701554419136,DAPOER AYUK ANA,QRIS
454780172100005,BILIK BERSIH LAUNDRY 5,QRIS
200719967103375,INDOMARET TA9W-RAYA MANSURABAYA (KOT  ID,EDC
200720221414410,LUYUAN E-RIDE          TANGERANG (KA  ID,EDC
404301854110004,SQ BOARDING PLM,QRIS
200720122837981,INDOMARET TNO6-TATA SUKBEKASI (KAB)   ID,EDC
400039672300001,MYISTERRY_HAIREXTENSION,QRIS
71516509781,TOKOPEDIA                02150170809  ID,EDC
200719971507020,MIDI SF2I SIMPANG STABOLANGKAT (KAB)  ID,EDC
400002756970001,RUMAH JAHIT LIANA,QRIS
402101551110001,NCA SIDE JOB,QRIS
404270154990002,TEH POCI MAMA RAFISKY,QRIS
403930154990021,JAJANAN MBAK NJE,QRIS
451058052110001,TOKO SINAR TOMANG,QRIS
451901380620006,POLI MATA,QRIS
200720178968628,GLAMLOCAL WR - BWBYAZ  BEKASI (KOTA)  ID,EDC
400280154410001,SNACK CIKIBUL BANGKALAN,QRIS
401176075310005,ANUGRAH TEKNIK#07,QRIS
401209054410001,BY ARISANDI,QRIS
200713650278810,XCKR - MR DIY USMAR ISMBEKASI (KOTA)  ID,EDC
401029056970001,VERMAK JEANS WILIS,QRIS
402470158110013,SIMPLESWEET.BAKED,QRIS
404540154990026,TELUR GULUNG INCES LAMPU,QRIS
409018858120013,AA CATERING,QRIS
200719568269656,MR.DIY-XDRY- PETIKEN DRGRESIK (KAB)   ID,EDC
401128058120007,RM RUMPUN PADI BATU HIU,QRIS
404410154410022,IBU RAHMAH,QRIS
