"MERCHANT_ID","MERCHANT_NAME","EQUIP"
"100000356210001","BRANDEDSHOP MEDAN      MEDAN (KOTA)   ID","EDC"
"100000654620002","HOKKAIDO BAKED CHEESE TJAKARTA SELAT  ID","EDC"
"100000852000001","CEMERLANG JAYA         BANYUASIN (KA  ID","EDC"
"100001354110001","DEPO SEMUT EMAS        SEMARANG       ID","EDC"
"100001551310001","LACHMI MODE  DONE RC   BOGOR          ID","EDC"
"100001758120001","CAFE THE VIEW DUMANGKARJAYAPURA (KAB  ID","EDC"
"100001854990001","NYOTO BUAH             BANDAR LAMPUN  ID","EDC"
"100002254620002","UD BORNEO 3            KUPANG (KOTA)  ID","EDC"
"100002458140001","RUMAH KOPI SEDUH PELANGAMBON (KOTA)   ID","EDC"
"100002554110001","PT PALU GRAND HERO     PALU (KOTA)    ID","EDC"
"100002554110002","PT PALU MITRA UTAMA    PALU (KOTA)    ID","EDC"
"100002580210001","MAROFIAND DENTAL CARE  TATANGA        ID","EDC"
"100003154110001","LUWES LOJIWETAN        SURAKARTA (KO  ID","EDC"
"100003154110002","LUWES HONGGOWONGSO     SURAKARTA (KO  ID","EDC"
"100003154110003","LUWES PALUR            KARANGANYAR (  ID","EDC"
"100003359120001","APOTEK JAYANTI PWT     BANYUMAS       ID","EDC"
"100004252000001","CV ANDIKA              KUBU RAYA      ID","EDC"
"100004850940001","TOKO EMAS SUBUR JAYA   DEPOK          ID","EDC"
"100004875380001","AUTO BENGAWAN BENGKEL &JAKARTA SELAT  ID","EDC"
"100007254620001","TOKO ROTI KUE DONALSON MAKASSAR (KOT  ID","EDC"
"100007752110001","TOKO SURYA UTAMA JAYA  MAKASSAR (KOT  ID","EDC"
"100008154110002","PUSKOP KARTIKA TIDAR   MAGELANG       ID","EDC"
"100008155710001","INTI MOTOR             MAGELANG       ID","EDC"
"100011054110001","O ' MART PENTADIO      GORONTALO (KA  ID","EDC"
"100011054110003","O'MART LIMBOTO         GORONTALO (KA  ID","EDC"
"100011054110004","PIA SARONDE AGUS SALIM GORONTALO      ID","EDC"
"100011056510001","YOE COLLECTION         GORONTALO      ID","EDC"
"100012857120001","SUMBER MAKMUR          CIBADAK        ID","EDC"
"100014058140006","SHIHLIN PLAZA ATRIUM SEJAKARTA PUSAT  ID","EDC"
"100014058140012","SHIHLIN EMPORIUM 2     JAKARTA UTARA  ID","EDC"
"100014058140023","SHIHLIN CENTRAL PARK   JAKARTA BARAT  ID","EDC"
"100014058140033","SHIHLIN PURI INDAH MALLJAKARTA BARAT  ID","EDC"
"100014058140040","SHIHLIN PONDOK INDAH MAJAKARTA SELAT  ID","EDC"
"100014058140051","SHIHLIN RUKO MARGONDA DDEPOK          ID","EDC"
"100014058140052","SHIHLIN THE PARK SAWANGDEPOK          ID","EDC"
"100014058140055","SHIHLIN AEON MALL SENTUBOGOR          ID","EDC"
"100014058140059","SHIHLIN MALL ALAM SUTERTANGERANG      ID","EDC"
"100014058140061","SHIHLIN REST AREA KM 13TANGERANG      ID","EDC"
"100014058140067","SHIHLIN TANGERANG CITY TANGERANG      ID","EDC"
"100014058140069","SHIHLIN PARADISE WALK STANGERANG      ID","EDC"
"100014058140071","SHIHLIN SUPERMALL KARAWTANGERANG      ID","EDC"
"100014058140077","SHIHLIN CILEGON CITY MABANTEN         ID","EDC"
"100014058140079","SHIHLIN SUMARECON MALL BEKASI         ID","EDC"
"100014058140081","SHIHLIN REST AREA KM 19BEKASI         ID","EDC"
"100014058140082","SHIHLIN METROPOLITAN MABEKASI         ID","EDC"
"100014058140083","SHIHLIN MALL CIPUTRA CIBEKASI         ID","EDC"
"100014058140084","SHIHLIN LIPPO MALL CIKABEKASI         ID","EDC"
"100014058140086","SHIHLIN PAKUWON MALL BEBEKASI         ID","EDC"
"100014058140087","SHIHLIN AEON MALL DELTABEKASI         ID","EDC"
"100014058140090","SHIHLIN REST AREA KM 97REST AREA KAR  ID","EDC"
"100014058140099","SHIHLIN GRAGE MALL CIRECIREBON        ID","EDC"
"100014058140100","SHIHLIN AMBARUKMO PLAZAJOGJA          ID","EDC"
"100014058140104","SHIHLIN LIVING WORLD DEBALI           ID","EDC"
"100014058140108","SHIHLIN DP MALL SEMARANSEMARANG       ID","EDC"
"100014058140112","SHIHLIN TUNJUNGAN PLAZASURABAYA       ID","EDC"
"100014058140118","SHIHLIN BOEMI KEDATON LLAMPUNG        ID","EDC"
"100014280110001","DR. S.J RITA - PRAKTIK BEKASI (KAB)   ID","EDC"
"100015254110001","TOKO MODERN / SAMI LARIKLATEN         ID","EDC"
"100016258140001","KOPI SELATAN           TANGERANG SEL  ID","EDC"
"100017952110002","TB LUCKY MATERIAL      BOGOR (KAB)    ID","EDC"
"100019354110001","TOKO YAYAT             JAKARTA SELAT  ID","EDC"
"100020456970001","GRIYA BUSANA FIA       TANGERANG SEL  ID","EDC"
"100021027410001","ISTANA MEGAH FOTO      TERNATE (KOTA  ID","EDC"
"100021054110002","TOKO ALYA MART         TERNATE (KOTA  ID","EDC"
"100021054620001","GOLDEN BAKERY TERNATE  AMBON (KOTA)   ID","EDC"
"100021058120004","CALIFORNIA FRIED CHICKEAMBON (KOTA)   ID","EDC"
"100021450940001","TOKO MAS PUSPITA MUDA  ARAWANG        ID","EDC"
"100021450940002","TOKO MAS PUSPITA       KARAWANG       ID","EDC"
"100022458120003","RUMAH MAKAN BALESAJI   BANYUWANGI (K  ID","EDC"
"100023454620001","TOKO KUE MIMICICI CAKE BOGOR          ID","EDC"
"100025454990001","TOP KERAMIK            DEPOK          ID","EDC"
"100029780620001","PT KYANDRA JANTERA     BEKASI (KAB)   ID","EDC"
"100030880620001","KLINIK BPM BIDAN PUTRI JAGAKAKRSA     ID","EDC"
"100031052110001","PD SEDERHANA JAYA      JAKARTA TIMUR  ID","EDC"
"100034454110001","TOKO ADRIEL            ATEN LAMPUNG   ID","EDC"
"100034475380001","SATRIA AC MOBIL        BANDAR LAMPUN  ID","EDC"
"100043358120001","LESEHAN MEWAH          GANJUK         ID","EDC"
"100049658120001","WARUNG PAK LANJAR      NGAGLIK        ID","EDC"
"100050958125646","BOX KOFFIES            TANGERANG      ID","EDC"
"100051258120001","KEDAI SERBA SAMBAL     PEMALANG       ID","EDC"
"100057342150001","ASASTABUANA            TANGERANG      ID","EDC"
"100057654110001","TOKO CAHAYA LARIS      BOGOR          ID","EDC"
"100061280620001","KLINIK UMI RAHMA 1     BEKASI KOTA    ID","EDC"
"100061280620002","KLINIK UMI RAHMA 2     BEKASI         ID","EDC"
"100102759120001","TOKO OBAT MUTIARA BARU PURWAKARTA     ID","EDC"
"100108972300001","SALON RUDY HADISUWARNO SEMARANG       ID","EDC"
"100111354110001","ALIBABA SUSU & DIAPERS TRENGGALEK     ID","EDC"
"100111470110001","KHAYYIRA GUEST HOUSE   LUMAJANG       ID","EDC"
"100814033221","GRAB* A-9XVUL5WGWAJEAV   6281384748739ID","EDC"
"100814033320","GRAB* A-9XVNMHMWW3GMAV   6281384748739ID","EDC"
"120001458125663","EDC TESTING 2          JAKARTA        ID","EDC"
"120012157120002","A316 AZKO MDN SUN PLAZAMEDAN          ID","EDC"
"120012157120003","A327 AZKO MDN JUANDA   MEDAN          ID","EDC"
"120012157120004","A381 AZKO MDN GATSU    MEDAN          ID","EDC"
"120012157120005","A395 AZKO MDN CTR POINTMEDAN          ID","EDC"
"120012157120006","A419 AZKO MDN PUTRI HIJMEDAN          ID","EDC"
"120012157120007","A426 AZKO MDN CAMBRIDGEMEDAN          ID","EDC"
"120012157120008","A514 AZKO MDN DELI PARKMEDAN          ID","EDC"
"120012157120009","A515 AZKO MDN A.H. NASUMEDAN          ID","EDC"
"120012157120010","A545 AZKO MDN PLZ MEDANMEDAN          ID","EDC"
"120012157120011","A583 AZKO LP MEDAN     MEDAN          ID","EDC"
"120012157120013","A334 AZKO BTM NAGOYA HIBATAM          ID","EDC"
"120012157120014","A484 AZKO BTM GRAND BATBATAM          ID","EDC"
"120012157120015","A502 AZKO BTM MALL BOTABATAM          ID","EDC"
"120012157120016","A607 AZKO BATOH BANDA AMEDAN          ID","EDC"
"120012157120017","A396 AZKO JAMBI TOWN SQJAMBI          ID","EDC"
"120012157120018","A397 AZKO PALEMBANG SQ PALEMBANG      ID","EDC"
"120012157120019","A423 AZKO LAMPUNG B.KDALAMPUNG        ID","EDC"
"120012157120020","A485 AZKO PALEMBANG PTCPALEMBANG      ID","EDC"
"120012157120021","A491 AZKO BENGKULU BENCPALEMBANG      ID","EDC"
"120012157120023","A517 AZKO JAMBI PRIMA MJAMBI          ID","EDC"
"120012157120024","A532 AZKO PANGKALPINANGPANGKAL PINAN  ID","EDC"
"120012157120027","A320 AZKO PKU MAL PEKANPEKANBARU      ID","EDC"
"120012157120028","A451 AZKO LW PEKANBARU PEKANBARU      ID","EDC"
"120012157120030","A619 AZKO LP PALEMBANG PALEMBANG      ID","EDC"
"120012157120031","A623 AZKO LAMPUNG SUDIRKOTA METRO     ID","EDC"
"120012157120032","A369 AZKO LP CINERE    BOGOR          ID","EDC"
"120012157120033","A403 AZKO TGR CITRA RAYTANGERANG      ID","EDC"
"120012157120034","A416 AZKO LP PONDOK CABTANGERANG      ID","EDC"
"120012157120035","A434 AZKO TGR REMPOA   TANGERANG      ID","EDC"
"120012157120036","A445 AZKO TGR QBIG MAL TANGERANG      ID","EDC"
"120012157120037","A463 AZKO LP CIPUTAT   TANGERANG      ID","EDC"
"120012157120038","A482 AZKO CILEGON CENTESERANG         ID","EDC"
"120012157120039","A536 AZKO LP PAMULANG  TANGERANG      ID","EDC"
"120012157120040","A537 AZKO THE PARK SAWADEPOK          ID","EDC"
"120012157120041","A546 AZKO MAL CIPUTRA CTANGERANG      ID","EDC"
"120012157120042","A581 AZKO PLZ CIRENDEU TANGERANG      ID","EDC"
"120012157120043","A596 AZKO SERANG       SERANG         ID","EDC"
"120012157120044","A301 AZKO KARAWACI MAL TANGERANG      ID","EDC"
"120012157120045","A322 AZKO LW ALAM SUTERTANGERANG      ID","EDC"
"120012157120046","A341 AZKO LP BINTARO   TANGERANG      ID","EDC"
"120012157120047","A360 AZKO PARAMOUNT SRPTANGERANG      ID","EDC"
