"MERCHANT_GROUP","TRX_Week 01 2026","TRX_Week 02 2026","TRX_Week 03 2026","TRX_Week 04 2026","TRX_Week 05 2026","TRX_Week 06 2026","TRX_Week 07 2026","TRX_Week 08 2026","TRX_Week 09 2026","TRX_Week 10 2026","TRX_Week 11 2026","VOL_Week 01 2026","VOL_Week 02 2026","VOL_Week 03 2026","VOL_Week 04 2026","VOL_Week 05 2026","VOL_Week 06 2026","VOL_Week 07 2026","VOL_Week 08 2026","VOL_Week 09 2026","VOL_Week 10 2026","VOL_Week 11 2026","FBI_Week 01 2026","FBI_Week 02 2026","FBI_Week 03 2026","FBI_Week 04 2026","FBI_Week 05 2026","FBI_Week 06 2026","FBI_Week 07 2026","FBI_Week 08 2026","FBI_Week 09 2026","FBI_Week 10 2026","FBI_Week 11 2026"
"ALFA GROUP","22230","33742","33336","33852","45634","77730","77734","76614","66538","22048","19448","2695302300","3707298381","3585279951","3776551586","5338073757","8792409503","8505735368","9259559480","8049200380","2826263494","2373915432","20637968","27506077","26445239","27581031","42505778","67255529","66048870","70441667","64785534","30499352","25345073"
"ANCOL","577","423","370","1822","4959","10498","11404","9687","5287","5688","6397","2804335632","1665299600","1070945641","507299570","868963185","1862483260","2214011212","2028473367","813677409","625518812","747092462","22267231","13631239","9012203","4128066","6521026","14631529","17281847","16422036","5603815","4490156","5353794"
"BANBAN TEA","14","0","0","3","14","9","73","25","5","153","171","1353398","0","0","310200","908600","707100","3965926","1933099","248600","10504478","11735913","10205","0","0","2172","6358","4950","25281","13534","1740","73531","82153"
"BEARD PAPA","14","28","8","9","7","21","152","1","8","15","4","5867000","6108001","2861000","1374003","2544000","1178000","20893960","561001","936001","5048001","5536800","31389","27114","17805","7968","14194","4770","105759","3927","5199","35336","38757"
"CHAMP RESTO","41","30","26","146","191","193","200","170","51","175","208","36473061","31385982","34560522","33334597","24828849","27567148","27233073","22817402","7832443","24224070","42663728","192466","153662","199704","194051","64705","55972","74695","80908","50769","97584","229213"
"DAMRI","1","3","2","3","11","14","16","12","5","8","10","320000","960000","415000","1050000","3080000","4622000","4805550","3247000","1486000","3325000","3169000","3200","9600","4150","8310","21560","35414","39039","22729","11932","23275","24636"
"DELTA WIBAWA BERSAMA","2","5","3","30","139","131","98","109","43","125","172","302610","967890","553245","6043321","29920361","26711049","18730451","26698706","11026504","26393204","42783498","4851","13895","10349","46853","230839","193254","132290","186893","77185","184752","304908"
"DWIDAYA","10","19","4","22","54","101","62","18","31","20","20","182980000","684080265","104260000","437440816","1240085000","1732437000","817729100","67240000","421794000","56821000","49831000","274470","1297783","1042600","2158168","2549740","3335346","1496791","470680","723210","397747","348817"
"EKA HOSPITAL","4","8","13","4","22","72","32","13","29","13","12","4696001","8559050","8475285","4403420","21878854","75545375","90114394","18611246","42398387","20126570","6130195","10729","60760","45747","49952","202064","784414","1036664","206710","503861","219145","66765"
"GRAMEDIA","0","4","4","0","0","8","0","0","0","0","0","0","1767600","388000","0","0","2076000","0","0","0","0","0","0","2651","582","0","0","3114","0","0","0","0","0"
"HAUS","0","4","2","8","91","143","201","148","43","200","184","0","160000","28000","193000","6283000","14952788","5447012","3345000","1169000","6081996","11758200","0","240","280","0","10626","30000","400","0","0","0","13800"
"HERO GROUP","28","21","13","104","239","444","379","311","203","163","134","31787640","6957162","2491826","47068201","107545051","172844605","150886090","109538282","73864079","45019918","36048356","47681","19741","5680","74998","167001","279973","229932","171618","111792","73465","56013"
"HOKBEN","0","0","0","0","9","9","0","6","1","5","1","0","0","0","0","699000","159000","0","103000","36000","62000","20000","0","0","0","0","0","0","0","0","0","0","0"
"HOKKAIDO BAKED CHEESE","3","20","7","50","200","224","210","148","70","175","166","641200","3478200","1818200","4841690","9802694","15266047","11956000","10245600","6227155","12875831","14257488","4968","24628","16579","36971","55936","155214","96515","107574","61486","80711","94746"
"HOP HOP","0","0","0","112","1540","784","742","4348","272","855","4288","0","0","0","3977000","57290500","27280002","23911769","53660090","10666000","33743000","91571049","0","0","0","0","2146","2520","0","0","0","0","1701"
"IKEA","18","12","16","15","12","112","60","79","203","0","0","126725600","19860400","1950000","3534200","20714000","88791940","65397102","22963717","24911105","12625050","3475120","190088","29791","2925","5301","31071","207724","201711","45519","50007","88375","24325"
"INDOMARET","23490","37572","37940","38744","46378","79876","82661","76260","63259","16875","15313","2735691321","4122337407","4128261625","4269958071","5366988435","9412059892","9351870288","9022710174","8098285288","1990386372","1808417098","21076754","31462782","32150614","32585498","40271680","66754851","72122151","71089721","62311846","22938812","20817136"
"KAWAN LAMA","1376","1601","1560","1458","2347","3217","3555","3783","2102","450","477","2237262526","2132606384","2362583880","2098126474","3773892744","3682490149","4416819434","5664023178","2868400699","768711159","830730839","5185287","3547176","3547218","3148687","5673533","5519675","8654934","10688313","6084400","5277417","5705544"
"KCIC","145","284","325","393","873","1243","1318","845","468","441","417","147750000","285760000","317935000","342745000","779555000","1038286600","1188935000","773460000","369120000","350210000","319110000","2398070","4387820","4638480","4840245","8672232","11950804","14264635","9887910","4575725","3013630","2650445"
